id,created_at,updated_at,file_id,line_number,drug_name,generic_name,dosage_text,dose_value,dose_unit,dose_normalized_value,dose_normalized_unit,dose_type,frequency,route,age_group,indication,max_dose_text,duration,notes,confidence,safety_flag,verified,verification_source
1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,1,Tylenol,acetaminophen,10-15 mg per kg per dose,10-15,mg/kg,12.5,mg/kg,weight_based,every 4-6 hours,oral,all_ages,fever and pain,75 mg/kg/day,as needed,Do not exceed maximum daily dose,0.95,false,true,AAP Guidelines 2024
2,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,2,Motrin,ibuprofen,5-10 mg per kg per dose,5-10,mg/kg,7.5,mg/kg,weight_based,every 6-8 hours,oral,≥6 months,fever and pain,40 mg/kg/day,as needed,Give with food; avoid if dehydrated,0.95,true,true,AAP Guidelines 2024
3,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,3,Amoxil,amoxicillin,45-90 mg per kg per day divided,45-90,mg/kg/day,67.5,mg/kg/day,weight_based,twice daily,oral,all_ages,bacterial infections,4000 mg/day,7-10 days,Complete full course,0.98,false,true,Lexicomp Pediatric 2024
4,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,4,Zithromax,azithromycin,10 mg per kg day 1 then 5 mg per kg days 2-5,10,mg/kg,10,mg/kg,weight_based,daily,oral,≥6 months,atypical pneumonia,500 mg/day,5 days,Monitor for QT prolongation,0.92,true,true,Lexicomp Pediatric 2024
5,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,5,Ventolin,albuterol,2.5 mg if ≤20 kg or 5 mg if >20 kg,2.5-5,mg,3.75,mg,range,every 4-6 hours as needed,nebulizer,all_ages,bronchospasm,5 mg per dose,as needed,Monitor heart rate,0.96,false,true,NHLBI Guidelines 2024
6,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,6,Prednisolone,prednisolone,1-2 mg per kg per day,1-2,mg/kg/day,1.5,mg/kg/day,weight_based,daily to twice daily,oral,all_ages,inflammation,60 mg/day,varies,Taper dose gradually,0.94,true,true,AAP Guidelines 2024
7,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,7,EpiPen,epinephrine,0.01 mg per kg IM,0.01,mg/kg,0.01,mg/kg,weight_based,single dose,intramuscular,all_ages,anaphylaxis,0.5 mg per dose,single dose,Repeat in 5-15 min if needed,0.99,true,true,AAAAI Guidelines 2024
8,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,8,Benadryl,diphenhydramine,1-2 mg per kg per dose,1-2,mg/kg,1.5,mg/kg,weight_based,every 6 hours,oral,≥2 years,allergic reactions,50 mg per dose,as needed,May cause drowsiness,0.90,true,true,Lexicomp Pediatric 2024
9,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,9,Zofran,ondansetron,0.15 mg per kg per dose,0.15,mg/kg,0.15,mg/kg,weight_based,every 8 hours,oral or IV,≥1 month,nausea/vomiting,8 mg per dose,as needed,Monitor for QT prolongation,0.93,true,true,FDA Package Insert 2024
10,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,10,Keppra,levetiracetam,20-40 mg per kg per day divided,20-40,mg/kg/day,30,mg/kg/day,weight_based,twice daily,oral,≥1 month,seizures,3000 mg/day,long-term,Monitor for behavioral changes,0.96,true,true,Epilepsy Foundation 2024
11,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,11,Rocephin,ceftriaxone,50-100 mg per kg per day,50-100,mg/kg/day,75,mg/kg/day,weight_based,daily or twice daily,IV or IM,all_ages,serious bacterial infection,4000 mg/day,varies,Avoid in hyperbilirubinemic neonates,0.97,true,true,Lexicomp Pediatric 2024
12,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,12,Zyrtec,cetirizine,2.5-10 mg daily based on age,2.5-10,mg,6.25,mg,range,daily,oral,≥6 months,allergic rhinitis,10 mg/day,as needed,Minimal sedation,0.91,false,true,AAP Guidelines 2024
13,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,13,Miralax,polyethylene glycol 3350,0.5-1.5 g per kg per day,0.5-1.5,g/kg/day,1,g/kg/day,weight_based,daily,oral,≥6 months,constipation,17 g/day,as needed,Mix with clear liquids,0.89,false,true,NASPGHAN Guidelines 2024
14,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,14,Concerta,methylphenidate,18-54 mg daily,18-54,mg,36,mg,range,daily,oral,≥6 years,ADHD,54 mg/day,long-term,Monitor growth and appetite,0.94,true,true,AAP ADHD Guidelines 2024
15,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,PEDS_DOSES_2024,15,Flovent,fluticasone,88-176 mcg twice daily,88-176,mcg,132,mcg,range,twice daily,inhaled,≥4 years,asthma maintenance,176 mcg twice daily,long-term,Rinse mouth after use,0.95,false,true,NHLBI Guidelines 2024
