System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Respiratory,Albuterol,Beta-2 Agonist,Asthma/Bronchospasm,2.5mg (≤20kg) or 5mg (>20kg) nebulized,5mg per dose,Solution for nebulization,Inhalation,Q4-6h PRN,Hypersensitivity to albuterol,Tachycardia; tremor; nervousness,Monitor heart rate during treatment
Respiratory,Budesonide,Inhaled Corticosteroid,Asthma maintenance,0.25-1mg nebulized daily-BID,1mg per dose,Inhalation suspension,Inhalation,Daily-BID,Hypersensitivity to budesonide,Growth suppression; oral thrush,Rinse mouth after use
Infectious Disease,Amoxicillin,Penicillin,Bacterial infections,45-90mg/kg/day divided BID-TID,4000mg per day,Oral suspension; tablets,Oral,BID-TID,Penicillin allergy,Diarrhea; rash; nausea,Take with food to reduce GI upset
Infectious Disease,Azithromycin,Macrolide,Atypical pneumonia,10mg/kg day 1; then 5mg/kg days 2-5,500mg per day,Oral suspension; tablets,Oral,Daily,Hypersensitivity to macrolides,GI upset; QT prolongation,Monitor ECG in cardiac patients
Infectious Disease,Ceftriaxone,Cephalosporin,Serious bacterial infections,50-100mg/kg/day,4000mg per day,Injection,IV/IM,Daily-BID,Cephalosporin allergy,Diarrhea; injection site reactions,May displace bilirubin in neonates
Pain/Fever,Acetaminophen,Analgesic/Antipyretic,Pain and fever,10-15mg/kg/dose,75mg/kg/day,Oral liquid; tablets; suppository,Oral/Rectal,Q4-6h,Severe hepatic impairment,Hepatotoxicity with overdose,Do not exceed maximum daily dose
Pain/Fever,Ibuprofen,NSAID,Pain; fever; inflammation,5-10mg/kg/dose,40mg/kg/day,Oral suspension; tablets,Oral,Q6-8h,Age <6 months; renal disease,GI bleeding; renal impairment,Give with food; avoid in dehydration
Neurological,Levetiracetam,Anticonvulsant,Seizures,20-40mg/kg/day divided BID,3000mg per day,Oral solution; tablets,Oral,BID,Hypersensitivity to levetiracetam,Behavioral changes; somnolence,Monitor for mood changes
Emergency,Epinephrine,Adrenergic Agonist,Anaphylaxis,0.01mg/kg IM (max 0.5mg),0.5mg per dose,Auto-injector; injection,IM,Single dose,None in anaphylaxis,Tachycardia; hypertension,Repeat in 5-15 minutes if needed
GI,Ondansetron,5-HT3 Antagonist,Nausea/vomiting,0.15mg/kg/dose,8mg per dose,Oral solution; tablets; injection,Oral/IV,Q8h PRN,Congenital long QT syndrome,Constipation; headache; QT prolongation,Monitor ECG in cardiac patients
Allergy,Diphenhydramine,Antihistamine,Allergic reactions,1-2mg/kg/dose,50mg per dose,Oral liquid; tablets,Oral,Q6h PRN,Age <2 years,Drowsiness; dry mouth; urinary retention,May cause paradoxical excitement
Allergy,Cetirizine,Non-sedating antihistamine,Seasonal allergies,2.5-10mg daily based on age,10mg per day,Oral solution; tablets,Oral,Daily,Severe renal impairment,Minimal sedation; headache,Preferred antihistamine in children
Endocrine,Prednisolone,Corticosteroid,Inflammation; asthma,1-2mg/kg/day,60mg per day,Oral solution; tablets,Oral,Daily-BID,Systemic fungal infections,Growth suppression; immunosuppression,Taper dose; do not stop abruptly
GI,Polyethylene glycol 3350,Osmotic laxative,Constipation,0.5-1.5g/kg/day,17g per day,Powder for solution,Oral,Daily,Bowel obstruction,Diarrhea; abdominal cramping,Mix with clear liquids
Behavioral,Methylphenidate,CNS Stimulant,ADHD,0.3-2mg/kg/day,60mg per day,Tablets; extended-release,Oral,BID or daily,Severe anxiety; motor tics,Growth suppression; appetite loss,Monitor height and weight
Cardiac,Furosemide,Loop diuretic,Heart failure; edema,1-2mg/kg/dose,6mg/kg/day,Oral solution; injection,Oral/IV,BID-TID,Anuria; severe electrolyte depletion,Electrolyte imbalance; ototoxicity,Monitor electrolytes and renal function
Hematology,Ferrous sulfate,Iron supplement,Iron deficiency anemia,3-6mg/kg/day elemental iron,200mg elemental iron per day,Oral liquid; tablets,Oral,Daily-BID,Hemochromatosis; hemolytic anemia,GI upset; constipation; dark stools,Give between meals for better absorption
Dermatology,Hydrocortisone,Topical corticosteroid,Eczema; dermatitis,Apply thin layer,1% concentration,Cream; ointment,Topical,BID-QID,Viral skin infections,Skin atrophy with prolonged use,Use lowest potency for shortest duration
Ophthalmology,Erythromycin,Macrolide antibiotic,Conjunctivitis,Apply 1cm ribbon,N/A,Ophthalmic ointment,Topical,QID,Hypersensitivity to macrolides,Local irritation; blurred vision,Complete full course of treatment
Urology,Trimethoprim-sulfamethoxazole,Antibiotic combination,UTI,8-12mg/kg/day TMP component,320mg TMP per day,Oral suspension; tablets,Oral,BID,Sulfa allergy; severe renal disease,Rash; GI upset; hyperkalemia,Maintain adequate hydration
