id,topic_name,topic_code,parent_topic_id,description,age_groups,difficulty_level,keywords,medical_specialties,learning_objectives,prerequisites,estimated_study_time_minutes,is_core_topic,created_at,updated_at
550e8400-e29b-41d4-a716-446655440101,Respiratory Disorders,RESP001,,Common respiratory conditions in children,"{""infant"",""toddler"",""school_age"",""adolescent""}",intermediate,"{""asthma"",""bronchiolitis"",""pneumonia"",""cough""}","{""pulmonology"",""pediatrics""}","{""Diagnose common respiratory conditions"",""Recognize signs of respiratory distress"",""Manage acute asthma exacerbations""}","{""Basic anatomy and physiology""}",45,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440102,Cardiac Conditions,CARD001,,Pediatric cardiovascular disorders,"{""neonate"",""infant"",""toddler"",""school_age"",""adolescent""}",advanced,"{""congenital heart disease"",""murmur"",""arrhythmia"",""chest pain""}","{""cardiology"",""pediatrics""}","{""Evaluate heart murmurs in children"",""Recognize signs of congenital heart disease"",""Manage acute cardiac conditions""}","{""Cardiovascular physiology"",""Physical examination skills""}",60,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440103,Growth and Development,GROW001,,Normal and abnormal growth patterns,"{""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",beginner,"{""growth charts"",""developmental milestones"",""puberty"",""failure to thrive""}","{""pediatrics"",""endocrinology""}","{""Assess growth parameters"",""Identify developmental delays"",""Counsel families about normal development""}","{""Basic pediatric knowledge""}",30,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440104,Infectious Diseases,INFX001,,Common pediatric infections,"{""neonate"",""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",intermediate,"{""fever"",""viral infections"",""bacterial infections"",""antibiotics""}","{""pediatrics"",""infectious disease""}","{""Differentiate viral from bacterial infections"",""Select appropriate antibiotic therapy"",""Manage febrile infants""}","{""Basic microbiology"",""Pharmacology basics""}",50,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440105,Dermatology,DERM001,,Common skin conditions in children,"{""neonate"",""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",beginner,"{""eczema"",""diaper rash"",""acne"",""birthmarks""}","{""dermatology"",""pediatrics""}","{""Diagnose common skin conditions"",""Prescribe appropriate topical treatments"",""Recognize concerning skin lesions""}","{""Basic dermatology""}",40,false,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440106,Gastrointestinal Disorders,GI001,,Digestive system problems in children,"{""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",intermediate,"{""diarrhea"",""constipation"",""vomiting"",""abdominal pain""}","{""gastroenterology"",""pediatrics""}","{""Evaluate acute abdominal pain"",""Manage gastroenteritis"",""Recognize signs of dehydration""}","{""GI anatomy and physiology""}",45,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440107,Neurological Conditions,NEURO001,,Pediatric neurological disorders,"{""neonate"",""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",advanced,"{""seizures"",""headaches"",""developmental delay"",""cerebral palsy""}","{""neurology"",""pediatrics""}","{""Evaluate seizures in children"",""Assess neurological development"",""Manage acute neurological emergencies""}","{""Neuroanatomy"",""Neurophysiology""}",60,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440108,Emergency Medicine,EMER001,,Pediatric emergency conditions,"{""neonate"",""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",advanced,"{""trauma"",""shock"",""respiratory failure"",""cardiac arrest""}","{""emergency medicine"",""pediatrics""}","{""Recognize pediatric emergencies"",""Perform pediatric resuscitation"",""Stabilize critically ill children""}","{""PALS certification"",""Basic life support""}",90,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440109,Behavioral Health,BEHV001,,Mental health and behavioral issues,"{""preschool"",""school_age"",""adolescent""}",intermediate,"{""ADHD"",""autism"",""depression"",""anxiety""}","{""psychiatry"",""pediatrics"",""psychology""}","{""Screen for mental health conditions"",""Provide initial counseling"",""Know when to refer""}","{""Child psychology basics""}",50,false,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440110,Immunizations,IMMUN001,,Pediatric vaccination schedules and management,"{""neonate"",""infant"",""toddler"",""preschool"",""school_age"",""adolescent""}",beginner,"{""vaccines"",""immunization schedule"",""contraindications"",""adverse reactions""}","{""pediatrics"",""immunology""}","{""Follow vaccination schedules"",""Counsel parents about vaccines"",""Manage vaccine reactions""}","{""Basic immunology""}",30,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
